date,time_entry,time_exit,entry_time,hold_seconds,symbol,strategy,direction,entry_price,exit_price,qty,pnl_usd,pnl_pct,exit_reason,notes
2026-06-30,14:17:15,14:53:05,,,META,bollinger_bounce,long,556.21,552.785,8.98941,-35.1,-0.616,sl,
2026-06-30,15:11:04,15:23:36,,,AAPL,bollinger_bounce,short,287.05,288.445,17.0,-24.39,-0.486,sl,
2026-06-30,15:16:18,15:43:27,,,AMD,bollinger_bounce,short,564.65,571.5,8.0,-286.42,-1.213,sl,
2026-06-30,15:35:07,16:41:52,,,GOOGL,bollinger_bounce,short,356.23,358.275,13.0,-55.98,-0.574,sl,
2026-06-30,15:10:02,17:08:01,,,META,bollinger_bounce,long,554.145,559.33,9.006857,45.93,0.936,tp,
2026-06-30,15:18:23,18:19:04,,,NVDA,rsi_mean_reversion,short,197.865,199.08,25.0,-28.77,-0.614,sl,
2026-06-30,16:01:11,18:43:05,,,AMD,bollinger_bounce,short,576.62,583.6,8.0,-60.72,-1.211,sl,
2026-06-30,18:43:04,19:18:35,,,NVDA,rsi_mean_reversion,short,198.33,199.24,25.0,-22.0,-0.459,sl,
2026-06-30,19:39:28,19:55:09,,,SPY,rsi_mean_reversion,short,746.83,747.729,6.0,-32.36,-0.12,sl,
2026-06-30,19:30:04,20:05:13,,,TSLA,bollinger_bounce,short,423.41,419.1718,11.0,45.96,1.001,tp,
2026-07-01,13:35:12,13:37:28,,,MSFT,vwap_reversion,short,376.78,379.7,13.0,-27.47,-0.775,sl,
2026-07-01,13:35:14,13:38:33,,,META,bollinger_bounce,short,601.39,608.37,8.0,-132.28,-1.161,sl,
2026-07-01,13:34:06,13:46:02,,,AAPL,vwap_reversion,short,292.71,290.15,16.0,1.76,0.875,tp,
2026-07-01,13:36:17,13:47:06,,,QQQ,ema_crossover,short,725.76,728.025,6.0,7.53,-0.312,sl,
2026-07-01,13:38:30,13:49:13,,,MSFT,bollinger_bounce,short,380.205,376.155,12.0,47.58,1.065,tp,
2026-07-01,13:51:18,14:11:29,,,SPY,bollinger_bounce,long,744.235,746.59,6.640878,16.2,0.316,tp,
2026-07-01,13:53:26,14:24:11,,,AMZN,vwap_reversion,long,236.98,239.59,20.856313,49.64,1.101,tp,
2026-07-01,14:05:04,14:36:52,,,AAPL,rsi_mean_reversion,short,292.035,293.52,16.0,-23.5,-0.509,sl,
2026-07-01,14:23:06,14:45:21,,,AMD,bollinger_bounce,long,555.93,548.0,8.899075,-70.75,-1.426,sl,
2026-07-01,14:25:12,15:06:35,,,TSLA,bollinger_bounce,short,426.055,429.19,11.0,-24.86,-0.736,sl,
2026-07-01,14:29:27,15:21:22,,,IWM,bollinger_bounce,short,301.47,302.33,16.0,-13.81,-0.285,sl,
2026-07-01,14:46:23,15:24:23,,,AMZN,bollinger_bounce,short,241.41,243.215,20.0,-35.5,-0.748,sl,
2026-07-01,13:48:07,15:28:25,,,QQQ,bollinger_bounce,long,728.46,731.55,6.784376,20.42,0.424,tp,
2026-07-01,13:47:05,16:34:51,,,GLD,ema_crossover,long,375.51,374.05,13.138148,-51.93,-0.389,sl,
2026-07-04,06:24:12,06:24:13,,,AMD,restored,long,551.923933,517.82,8.974599,-306.07,-6.179,sl,
2026-07-04,06:24:12,06:24:14,,,BTC/USD,restored,long,59758.688544,62251.3,1.154913,2878.75,4.171,tp,
2026-07-04,06:24:12,06:24:14,,,SOL/USD,restored,long,76.644019,82.54,63.995703,377.32,7.693,tp,
2026-07-04,06:24:12,06:24:14,,,TSLA,restored,short,428.368182,393.45,11.0,384.1,8.151,tp,
2026-07-04,10:08:05,10:08:06,,,DOGE/USD,bollinger_bounce,long,0.076849,0.07653,66269.554683,-21.11,-0.415,tp,
2026-07-04,10:12:16,10:12:17,,,DOGE/USD,bollinger_bounce,long,0.076811,0.07653,66277.284504,-18.62,-0.366,tp,
2026-07-04,11:23:05,11:23:06,,,DOGE/USD,bollinger_bounce,long,0.076951,0.076609,66135.886057,-22.59,-0.444,tp,
2026-07-04,11:24:08,11:24:10,,,DOGE/USD,bollinger_bounce,long,0.076914,0.076609,66140.315636,-20.2,-0.397,tp,
2026-07-04,11:29:21,11:29:23,,,DOGE/USD,bollinger_bounce,long,0.076862,0.076609,66159.094324,-16.73,-0.329,tp,
2026-07-04,11:46:01,11:51:16,,,SOL/USD,bollinger_bounce,long,81.78925,81.921,62.153608,8.19,0.161,tp,
2026-07-04,11:52:18,11:52:20,,,SOL/USD,bollinger_bounce,long,81.7459,81.921,62.168445,10.89,0.214,tp,
2026-07-04,11:53:21,11:53:23,,,SOL/USD,bollinger_bounce,long,81.7205,81.921,62.170936,12.47,0.245,tp,
2026-07-04,14:11:00,14:11:02,,,BTC/USD,bollinger_bounce,long,62567.75,62516.884,0.081178,-4.13,-0.081,tp,
2026-07-04,14:12:03,14:12:05,,,BTC/USD,bollinger_bounce,long,62597.663,62516.884,0.081121,-6.55,-0.129,tp,
2026-07-04,14:13:06,14:13:08,,,BTC/USD,bollinger_bounce,long,62625.168,62516.884,0.081065,-8.78,-0.173,tp,
2026-07-04,14:14:09,14:14:11,,,BTC/USD,bollinger_bounce,long,62616.8775,62643.87,0.081057,2.19,0.043,tp,
2026-07-04,14:34:01,14:34:02,,,DOGE/USD,supertrend,long,0.077315,0.077046,65631.772619,-17.65,-0.348,tp,
2026-07-04,14:35:03,14:35:05,,,ETH/USD,macd_momentum,long,1768.225,1767.364,2.867944,-2.47,-0.049,tp,
2026-07-04,14:36:06,14:36:08,,,ETH/USD,macd_momentum,long,1768.335,1768.9,2.867027,1.62,0.032,tp,
2026-07-04,14:36:07,14:36:09,,,LINK/USD,supertrend,long,7.965175,7.93962,636.503906,-16.27,-0.321,tp,
2026-07-04,14:37:10,14:37:12,,,ETH/USD,macd_momentum,long,1768.0485,1769.2,2.865278,3.3,0.065,tp,
2026-07-04,14:37:11,14:37:12,,,LINK/USD,supertrend,long,7.96295,7.97235,636.190168,5.98,0.118,tp,
2026-07-04,14:38:14,14:38:15,,,LINK/USD,supertrend,long,7.9606,7.9549,635.881341,-3.62,-0.072,tp,
2026-07-04,14:39:16,14:39:18,,,ETH/USD,macd_momentum,long,1767.335,1769.2,2.862691,5.34,0.106,tp,
2026-07-04,14:39:16,14:39:18,,,DOGE/USD,supertrend,long,0.077284,0.077046,65464.021107,-15.59,-0.308,tp,
2026-07-04,14:39:17,14:39:18,,,LINK/USD,supertrend,long,7.96472,7.9549,635.218124,-6.24,-0.123,tp,
2026-07-04,14:40:20,14:40:21,,,LINK/USD,supertrend,long,7.96905,7.9549,634.146291,-8.97,-0.178,tp,
2026-07-04,14:41:22,14:41:24,,,ETH/USD,macd_momentum,long,1767.9005,1769.2,2.856125,3.71,0.074,tp,
2026-07-04,14:41:23,14:41:24,,,DOGE/USD,supertrend,long,0.077304,0.077046,65317.783099,-16.87,-0.334,tp,
2026-07-04,14:41:23,14:41:25,,,LINK/USD,supertrend,long,7.975,7.9549,633.146771,-12.73,-0.252,tp,
2026-07-04,14:42:26,14:42:28,,,ETH/USD,macd_momentum,long,1768.9115,1769.2,2.851773,0.82,0.016,tp,
2026-07-04,14:42:26,14:42:28,,,DOGE/USD,supertrend,long,0.077395,0.077046,65179.489499,-22.72,-0.45,tp,
2026-07-04,14:42:27,14:42:28,,,LINK/USD,supertrend,long,7.985675,7.9549,631.697884,-19.44,-0.385,tp,
2026-07-04,14:43:30,14:43:31,,,DOGE/USD,supertrend,long,0.077425,0.077046,65089.331611,-24.67,-0.49,tp,
2026-07-04,15:00:13,15:00:15,,,DOGE/USD,breakout_momentum,long,0.077649,0.077611,64891.411366,-2.44,-0.048,tp,
2026-07-04,15:03:22,15:03:23,,,DOGE/USD,breakout_momentum,long,0.077695,0.077611,64826.706995,-5.45,-0.108,tp,
2026-07-04,15:05:27,15:05:29,,,DOGE/USD,breakout_momentum,long,0.077849,0.077611,64674.643699,-15.36,-0.305,tp,
2026-07-04,14:34:01,15:30:34,,,AVAX/USD,supertrend,long,6.909145,6.9923,734.435375,61.07,1.204,tp,
2026-07-04,16:54:00,16:54:01,,,LTC/USD,vwap_reversion,long,45.353,45.4251,110.985194,8.0,0.159,tp,
2026-07-04,16:56:06,16:56:06,,,LTC/USD,vwap_reversion,long,45.2995,45.221,111.043223,-8.72,-0.173,tp,
2026-07-04,16:57:09,16:57:10,,,LTC/USD,vwap_reversion,long,45.28315,45.221,111.035783,-6.9,-0.137,tp,
2026-07-04,16:58:12,16:58:13,,,LTC/USD,vwap_reversion,long,45.314,45.4242,110.914651,12.22,0.243,tp,
2026-07-04,16:55:02,17:05:30,,,SOL/USD,vwap_reversion,long,82.16055,82.146,61.239056,-0.89,-0.018,tp,
2026-07-04,11:54:25,17:54:28,,,AMZN,restored,short,241.588173,242.67,20.0,-21.64,-0.448,time_limit,
2026-07-04,11:54:25,17:54:28,,,GOOGL,restored,short,361.26,359.91,13.0,17.55,0.374,time_limit,
2026-07-04,11:54:25,17:54:28,,,NVDA,restored,short,198.307733,194.83,25.0,86.94,1.754,time_limit,
2026-07-04,11:54:25,17:54:28,,,TLT,restored,long,85.73,85.51,57.752846,-12.71,-0.257,time_limit,
2026-07-04,19:01:11,19:01:11,,,BCH/USD,ema_crossover,long,233.228,232.797,21.538016,-9.28,-0.185,tp,
2026-07-04,19:02:14,19:02:14,,,BCH/USD,ema_crossover,long,233.4,232.797,21.515769,-12.97,-0.258,tp,
2026-07-04,19:04:19,19:04:19,,,BCH/USD,ema_crossover,long,233.58,232.797,21.492347,-16.83,-0.335,tp,
2026-07-04,19:07:27,19:07:27,,,BCH/USD,ema_crossover,long,233.6255,232.797,21.480772,-17.8,-0.355,tp,
2026-07-04,19:08:29,19:08:30,,,BCH/USD,ema_crossover,long,233.25,232.797,21.507972,-9.74,-0.194,tp,
2026-07-04,19:22:04,19:22:04,,,BCH/USD,ema_crossover,long,234.0535,232.797,21.426832,-26.92,-0.537,tp,
2026-07-04,19:23:07,19:23:07,,,BCH/USD,ema_crossover,long,234.15,232.797,21.41098,-28.97,-0.578,tp,
2026-07-04,19:24:10,19:24:10,,,BCH/USD,ema_crossover,long,234.3,232.797,21.389938,-32.15,-0.641,tp,
2026-07-04,19:25:13,19:25:13,,,BCH/USD,ema_crossover,long,234.145,232.797,21.397589,-28.84,-0.576,tp,
2026-07-04,19:26:16,19:26:16,,,BCH/USD,ema_crossover,long,234.3,232.797,21.377527,-32.13,-0.641,tp,
2026-07-04,22:00:21,22:00:23,,,DOGE/USD,breakout_momentum,long,0.078186,0.078189,64033.358828,0.17,0.003,tp,
2026-07-04,22:00:22,22:00:23,,,LINK/USD,supertrend,long,8.0441,8.0364,622.384729,-4.79,-0.096,tp,
2026-07-04,22:01:25,22:01:26,,,DOGE/USD,breakout_momentum,long,0.078192,0.078189,63973.221165,-0.22,-0.004,tp,
2026-07-04,22:01:25,22:01:26,,,LINK/USD,supertrend,long,8.047495,8.0364,621.586779,-6.9,-0.138,tp,
2026-07-04,22:02:28,22:02:29,,,LINK/USD,supertrend,long,8.04155,8.0364,621.463213,-3.2,-0.064,tp,
2026-07-05,00:00:23,00:00:27,,,BTC/USD,breakout_momentum,long,63089.4675,63121.859,0.079163,2.56,0.051,tp,
2026-07-05,00:00:26,00:00:27,,,LTC/USD,breakout_momentum,long,44.8205,45.005,111.429748,20.56,0.412,tp,
2026-07-05,00:01:28,00:01:30,,,BTC/USD,breakout_momentum,long,63035.885,63121.859,0.079122,6.8,0.136,tp,
2026-07-05,00:01:30,00:01:30,,,LTC/USD,breakout_momentum,long,44.784,45.005,111.368324,24.61,0.493,tp,
2026-07-05,00:14:00,00:14:02,,,BTC/USD,breakout_momentum,long,63001.25,62985.89,0.079108,-1.22,-0.024,tp,
2026-07-05,00:00:26,00:21:20,,,BCH/USD,breakout_momentum,long,235.925,238.078,21.169172,45.58,0.913,tp,
2026-07-05,21:01:02,02:08:41,,,SOL/USD,breakout_momentum,long,81.8124,80.433,61.208387,-84.43,-1.686,sl,
2026-07-05,02:42:00,02:42:01,,,SOL/USD,supertrend,long,80.45015,80.55,61.889835,6.18,0.124,sl,
2026-07-05,02:43:03,02:43:04,,,SOL/USD,supertrend,long,80.3279,80.1501,61.966465,-11.02,-0.221,sl,
2026-07-05,02:44:05,02:44:07,,,SOL/USD,supertrend,long,80.235,80.1318,62.016065,-6.4,-0.129,sl,
2026-07-05,03:56:01,03:56:02,,,AVAX/USD,vwap_reversion,long,6.8038,6.7757,731.168538,-20.55,-0.413,sl,
2026-07-05,03:56:02,03:56:02,,,BCH/USD,breakout_momentum,long,236.834,237.628,21.005111,16.68,0.335,tp,
2026-07-05,03:57:04,03:57:05,,,AVAX/USD,vwap_reversion,long,6.8045,6.7757,730.428026,-21.04,-0.423,sl,
2026-07-05,03:57:05,03:57:05,,,BCH/USD,breakout_momentum,long,236.61,237.628,21.005864,21.38,0.43,tp,
2026-07-05,03:58:07,03:58:08,,,AVAX/USD,vwap_reversion,long,6.79849,6.7757,730.285328,-16.64,-0.335,sl,
2026-07-05,03:58:08,03:58:09,,,BCH/USD,breakout_momentum,long,236.428,237.628,20.999363,25.2,0.508,tp,
2026-07-05,03:59:10,03:59:11,,,AVAX/USD,vwap_reversion,long,6.8014,6.7757,729.205678,-18.74,-0.378,sl,
2026-07-05,03:59:11,03:59:12,,,BCH/USD,breakout_momentum,long,236.35,237.628,20.984216,26.82,0.541,tp,
2026-07-05,00:01:28,06:02:08,,,ETH/USD,breakout_momentum,long,1777.845,1759.169,2.805373,-52.39,-1.05,time_limit,
2026-07-05,01:30:07,07:30:40,,,BTC/USD,breakout_momentum,long,62883.2765,62744.146,0.079246,-11.03,-0.221,time_limit,
2026-07-05,09:02:15,09:02:16,,,SOL/USD,breakout_momentum,long,80.383,80.27,61.593913,-6.96,-0.141,sl,
2026-07-05,09:03:18,09:03:19,,,SOL/USD,breakout_momentum,long,80.42495,80.27,61.548201,-9.54,-0.193,sl,
2026-07-05,09:04:20,09:04:22,,,SOL/USD,breakout_momentum,long,80.363,80.27,61.580435,-5.73,-0.116,sl,
2026-07-05,09:06:25,09:06:27,,,SOL/USD,breakout_momentum,long,80.4433,80.27,61.503612,-10.66,-0.215,sl,
